name,total_points,saves,conceded,creativity,influence,threat,bonus,BPS,ICT_index,clean_sheets,position
Ezgjan Alioski,110,0,35,423.0,477.8,281,7,449,118.5,10,DEF
Kelechi Iheanacho,110,0,23,413.9,540.2,814,18,424,176.5,5,FWD
Jonny Evans,109,0,31,129.0,532.4,115,12,536,77.9,10,DEF
Nelson Semedo,109,0,45,412.9,595.2,297,11,548,130.7,9,DEF
James Tarkowski,109,0,50,148.0,773.4,350,9,534,127.7,11,DEF
Kurt Zouma,108,0,25,72.6,577.8,339,6,481,99.0,9,DEF
Pierre-Emile Hojbjerg,107,0,45,308.7,728.8,146,6,578,118.4,12,MID
Ademola Lookman,107,0,33,884.6,514.2,928,8,367,232.7,10,MID
Conor Coady,106,0,51,40.1,692.2,85,7,606,82.0,10,DEF
Christian Benteke,106,0,34,236.5,512.6,1030,14,338,177.7,5,FWD
Mason Greenwood,106,0,23,278.7,370.8,881,9,318,152.7,7,MID
Jesse Lingard,106,0,19,288.2,487.0,530,15,332,130.4,4,MID
Rob Holding,105,0,26,76.1,602.6,97,10,536,77.7,11,DEF
Neal Maupay,105,0,34,443.2,442.2,1103,12,334,198.5,10,FWD
Ben White,104,0,44,152.5,488.6,153,5,571,79.7,12,DEF
Ruben Neves,104,0,42,455.0,697.2,445,10,502,159.9,8,MID
Matthew Lowton,103,0,47,380.8,551.2,125,6,545,105.8,10,DEF
Ola Aina,102,0,36,248.8,483.6,144,8,477,87.7,8,DEF
Victor Lindelof,102,0,30,102.6,503.0,56,3,527,66.4,10,DEF
Ben Mee,102,0,41,71.6,691.0,312,7,500,107.9,10,DEF
James Justin,101,0,25,290.7,472.2,195,13,447,96.0,9,DEF
Robert Sanchez,101,66,27,10.0,542.2,4,8,514,55.8,10,GK
James Rodriguez,101,0,27,585.6,499.2,399,11,432,148.7,5,MID
Tosin Adarabioyo,100,0,41,70.1,673.8,223,11,571,97.1,9,DEF
Luke Ayling,100,0,54,421.4,843.2,350,2,665,161.6,12,DEF
Ben Godfrey,100,0,35,84.3,610.4,152,7,537,84.8,11,DEF
Angelo Ogbonna,100,0,34,56.4,489.8,244,5,461,79.1,9,DEF
David McGoldrick,100,0,37,320.2,464.4,860,12,344,164.6,9,FWD
Romain Saiss,99,0,40,101.2,584.6,347,11,466,103.4,8,DEF
Edinson Cavani,99,0,18,203.3,443.4,513,14,367,115.0,4,FWD
Mateusz Klich,99,0,44,661.4,464.6,333,3,407,145.7,8,MID
Tanguy Ndombele,99,0,24,270.8,408.0,281,7,407,96.2,12,MID
Miguel Almiron,97,0,48,447.3,452.6,425,8,367,132.6,5,MID
Georginio Wijnaldum,97,0,39,387.0,358.2,307,3,482,105.1,10,MID
Kieran Tierney,96,0,27,490.1,446.4,201,4,483,113.9,8,DEF
Joel Veltman,96,0,27,366.0,484.4,169,10,432,102.1,9,DEF
Ferran Torres,95,0,13,276.4,352.2,543,4,265,117.0,7,MID
Jan Bednarek,94,0,62,75.0,692.0,164,11,584,93.1,9,DEF
Hector Bellerin,94,0,24,351.8,362.8,232,17,421,94.7,7,DEF
Timothy Castagne,94,0,37,350.2,486.6,181,7,479,101.7,6,DEF
Alex McCarthy,94,93,57,0.0,741.2,0,8,527,74.0,7,GK
Bernardo Silva,94,0,18,476.2,399.6,463,9,413,134.1,11,MID
Andros Townsend,94,0,37,694.6,511.4,311,8,378,152.1,7,MID
Adama Traore,94,0,41,751.0,475.4,645,5,359,187.2,7,MID
Joachim Andersen,93,0,36,109.3,582.8,151,7,501,84.5,9,DEF
